Name,Agency product number,Active substance,International non-proprietary name (INN) or common name,Therapeutic area (MeSH),Anatomical therapeutic chemical (ATC) code,Generic,Marketing-authorisation holder,Revision,Date of issue of marketing authorisation valid throughout the European Union,Contact address,Additional monitoring,Orphan,Conditional approval,Biosimilar,Marketing-autorisation applicant,Date of opinion,Exceptional circumstances,Date of refusal of marketing authorisation,Countries
Strimvelis,EMEA/H/C/003854,autologous CD34+ enriched cell fraction that contains CD34+ cells transduced with retroviral vector that encodes for the human adenosine deaminase (ADA) cDNA sequence from human haematopoietic stem/progenitor (CD34+) cells,autologous CD34+ enriched cell fraction that contains CD34+ cells transduced with retroviral vector that encodes for the human ADA cDNA sequence,Severe Combined Immunodeficiency,L03,,Orchard Therapeutics (Netherlands) BV,2,25/05/2016,"Prins Bernhardplein 200
1097 JB Amsterdam
The Netherlands","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.","This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,The Netherlands
Lojuxta,EMEA/H/C/002578,Lomitapide,lomitapide,Hypercholesterolemia,C10AX12,,Amryt Pharmaceuticals DAC,10,30/07/2013,"90 Harcourt Street
Dublin 2
Ireland","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,"This medicine was authorised under exceptional circumstances, because the applicant was unable to provide comprehensive data on the efficacy and safety of the medicine under normal conditions of use. This can happen because the condition to be treated is rare or because collection of full information is not possible or is unethical. For more information, see Pre-authorisation guidance.",,Ireland
Votubia,EMEA/H/C/002311,everolimus,everolimus,Tuberous Sclerosis,L01XE10,,Novartis Europharm Limited,24,01/09/2011,"Elm Park
Merrion Road
Dublin 4
Ireland",,"This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,Ireland
Bondronat,EMEA/H/C/000101,ibandronic acid,ibandronic acid,"Hypercalcemia
Breast Neoplasms
Neoplasm Metastasis
Fractures, Bone",M05BA06,,Atnahs Pharma UK Limited,26,24/06/1996,"Sovereign House
Miles Gray Road
Basildon
SS14 3FR
United Kingdom",,,,,,,,,United Kingdom
Intanza,EMEA/H/C/000957,"influenza virus (inactivated, split) of the following strains:A/California/7/2009 (H1N1)pdm09 - like strain (A/California/7/2009, NYMC X-179A)A/Hong Kong/4801/2014 (H3N2) - like strain (A/Hong Kong/4801/2014, NYMC X-263B)B/Brisbane/60/2008 - like strain (B/Brisbane/60/2008, wild type)","influenza vaccine (split virion, inactivated)","Influenza, Human
Immunization",J07BB02,,Sanofi Pasteur Europe,18,23/02/2009,"2 Avenue Pont Pasteur
69007 Lyon
France",,,,,,,,,France
Travatan,EMEA/H/C/000390,travoprost,travoprost,"Glaucoma, Open-Angle
Ocular Hypertension",S01EE04,,Novartis Europharm Limited,28,26/11/2001,"Elm Park
Merrion Road
Dublin 4
Ireland",,,,,,,,,Ireland
Elmiron,EMEA/H/C/004246,pentosan polysulfate sodium,pentosan polysulfate sodium,"Cystitis, Interstitial",G04BX15,,bene-Arzneimittel GmbH,4,01/06/2017,"Herterichstrasse 1-3
81479 Munich
Germany",,,,,,,,,Germany
Tobi Podhaler,EMEA/H/C/002155,Tobramycin,tobramycin,"Cystic Fibrosis
Respiratory Tract Infections",J01GB01,,Novartis Europharm Limited,14,19/07/2011,"Elm Park
Merrion Road
Dublin 4
Ireland",,"This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,Ireland
Ratiograstim,EMEA/H/C/000825,filgrastim,filgrastim,"Neutropenia
Hematopoietic Stem Cell Transplantation
Cancer",L03AA02,,Ratiopharm GmbH,9,14/09/2008,"atiopharm GmbH
Graf-Arco-Str. 3
D-89079 Ulm
Germany",,,,"This is a biosimilar medicine, which is a biological medicine highly similar to another already approved biological medicine called the ‘reference medicine’. For more information, see Biosimilar medicines.",,,,,Germany
Entyvio,EMEA/H/C/002782,vedolizumab,vedolizumab,"Colitis, Ulcerative
Crohn Disease",L04AA,,Takeda Pharma A/S,10,21/05/2014,"Dybendal Alle 10
2630 Taastruup
Denmark","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Denmark
Protopic,EMEA/H/C/000374,tacrolimus,tacrolimus,"Dermatitis, Atopic",D11AH01,,LEO Pharma A/S,23,27/02/2002,"Industriparken 55
2750 Ballerup
Denmark",,,,,,,,,Denmark
Nivestim,EMEA/H/C/001142,filgrastim,filgrastim,"Neutropenia
Hematopoietic Stem Cell Transplantation
Cancer",L03AA02,,Pfizer Europe MA EEIG ,17,07/06/2010,"Pfizer Europe MA EEIG
Boulevard de la Plaine 17
1050 Bruxelles
Belgium",,,,"This is a biosimilar medicine, which is a biological medicine highly similar to another already approved biological medicine called the ‘reference medicine’. For more information, see Biosimilar medicines.",,,,,Belgium
Ocrevus,EMEA/H/C/004043,ocrelizumab,ocrelizumab,Multiple Sclerosis,L04AA,,Roche Registration GmbH,2,07/01/2018,"Emil-Barell-Strasse 1
79639 Grenzach-Wyhlen
Germany","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Germany
Eliquis,EMEA/H/C/002148,Apixaban,apixaban,"Arthroplasty
Venous Thromboembolism",B01AF02,,Bristol-Myers Squibb / Pfizer EEIG,16,17/05/2011,"Uxbridge Business Park
Sanderson Road
Uxbridge UB8 1DH
United Kingdom",,,,,,,,,United Kingdom
Circadin,EMEA/H/C/000695,melatonin,melatonin,Sleep Initiation and Maintenance Disorders,N05CH01,,RAD Neurim Pharmaceuticals EEC Ltd,28,28/06/2007,"Reading
Berks RG1 1LX
United Kingdom",,,,,,,,,United Kingdom
Bronchitol,EMEA/H/C/001252,mannitol,mannitol,Cystic Fibrosis,R05CB16,,Pharmaxis Pharmaceuticals Limited,12,12/04/2012,"25 Moorgate
London EC2R 6AY
United Kingdom",,"This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,United Kingdom
Tecentriq,EMEA/H/C/004143,atezolizumab,atezolizumab,"Carcinoma, Transitional Cell
Carcinoma, Non-Small-Cell Lung",L01XC,,Roche Registration GmbH,4,20/09/2017,"Emil-Barell-Strasse 1
79639 Grenzach-Wyhlen
Germany","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Germany
Natpar,EMEA/H/C/003861,parathyroid hormone,parathyroid hormone,Hypoparathyroidism,H05AA03,,Shire Pharmaceuticals Ireland Ltd,4,23/04/2017,"5 Riverwalk Citywest
Business Campus
Dublin 24
Ireland","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.","This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ","This medicine received a conditional marketing authorisation. This was granted in the interest of public health because the medicine addresses an unmet medical need and the benefit of immediate availability outweighs the risk from less comprehensive data than normally required. For more information, see Conditional marketing authorisation.",,,,,,Ireland
Temodal,EMEA/H/C/000229,temozolomide,temozolomide,"Glioma
Glioblastoma",L01AX03,,Merck Sharp & Dohme B.V. ,31,25/01/1999,"Waarderweg 39
2031 BN Haarlem
The Netherlands",,,,,,,,,The Netherlands
Temozolomide Sun,EMEA/H/C/002198,temozolomide,temozolomide,"Glioma
Glioblastoma",L01AX03,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Sun Pharmaceutical Industries Europe B.V.,12,12/07/2011,"Polarisavenue 87
NL-2132 JH Hoofddorp
The Netherlands",,,,,,,,,The Netherlands
Nevanac,EMEA/H/C/000818,nepafenac,nepafenac,"Pain, Postoperative
Ophthalmologic Surgical Procedures",S01BC10,,Novartis Europharm Limited,15,10/12/2007,"Elm Park
Merrion Road
Dublin 4
Ireland",,,,,,,,,Ireland
Pergoveris,EMEA/H/C/000714,follitropin alfa / lutropin alfa,follitropin alfa / lutropin alfa,"Infertility, Female",G03GA30,,Merck Europe B.V. ,12,24/06/2007,"Merck Europe B.V.
Gustav Mahlerplein 102
1082 MA Amsterdam
The Netherlands",,,,,,,,,The Netherlands
Pixuvri,EMEA/H/C/002055,pixantrone dimaleate,pixantrone dimaleate,"Lymphoma, Non-Hodgkin",L01DB11,,CTI Life Sciences Limited,18,09/05/2012,"Highlands House
Basingstoke Road
Spencers Wood, Reading
Berkshire RG7 1NT
United Kingdom","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,"This medicine received a conditional marketing authorisation. This was granted in the interest of public health because the medicine addresses an unmet medical need and the benefit of immediate availability outweighs the risk from less comprehensive data than normally required. For more information, see Conditional marketing authorisation.",,,,,,United Kingdom
Avastin,EMEA/H/C/000582,bevacizumab,bevacizumab,"Carcinoma, Non-Small-Cell Lung
Breast Neoplasms
Ovarian Neoplasms
Colorectal Neoplasms
Carcinoma, Renal Cell",L01XC07,,Roche Registration GmbH,50,11/01/2005,"Emil-Barell-Strasse 1
79639 Grenzach-Wyhlen
Germany",,,,,,,,,Germany
CellCept,EMEA/H/C/000082,mycophenolate mofetil,mycophenolate mofetil,Graft Rejection,L04AA06,,Roche Registration GmbH,30,13/02/1996,"Emil-Barell-Strasse 1
79639 Grenzach-Wyhlen
Germany",,,,,,,,,Germany
Tamiflu,EMEA/H/C/000402,oseltamivir,oseltamivir,"Influenza, Human",J05AH02,,Roche Registration GmbH,33,19/06/2002,"Emil-Barell-Strasse 1
79639 Grenzach-Wyhlen
Germany",,,,,,,,,Germany
Glyxambi,EMEA/H/C/003833,"empagliflozin
linagliptin",empagliflozin / linagliptin,"Diabetes Mellitus, Type 2",A10BD19,,Boehringer Ingelheim International GmbH,4,10/11/2016,"Binger Strasse 173 55216
Ingelheim am Rhein
Germany","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Germany
Colobreathe,EMEA/H/C/001225,Colistimethate sodium,colistimethate sodium,Cystic Fibrosis,J01XB01,,Teva B.V.,9,12/02/2012,"Swensweg 5
2031 Haarlem
Netherlands",,,,,,,,,The Netherlands
Luveris,EMEA/H/C/000292,lutropin alfa,lutropin alfa,"Ovulation Induction
Infertility, Female",G03GA07,,Merck Europe B.V. ,19,28/11/2000,"Merck Europe B.V.
Gustav Mahlerplein 102
1082 MA Amsterdam
The Netherlands",,,,,,,,,The Netherlands
Cystagon,EMEA/H/C/000125,mercaptamine bitartrate,mercaptamine bitartrate,Cystinosis,A16AA04,,Orphan Europe S.A.R.L.,14,22/06/1997,"Immeuble 'Le Wilson'
F-92058 Paris-La-Défense
France",,,,,,,,,France
Ciambra,EMEA/H/C/003788,pemetrexed disodium hemipentahydrate,pemetrexed,"Carcinoma, Non-Small-Cell Lung
Mesothelioma",L01BA04,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Menarini International Operations Luxembourg S.A.,2,01/12/2015,"1 Avenue de la Gare
L-1611
Luxembourg",,,,,,,,,Luxembourg
Cotellic,EMEA/H/C/003960,cobimetinib hemifumarate,cobimetinib,Melanoma,L01XE38,,Roche Registration GmbH,6,19/11/2015,"Emil-Barell-Strasse 1
79639 Grenzach-Wyhlen
Germany","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Germany
Brilique,EMEA/H/C/001241,ticagrelor,ticagrelor,"Peripheral Vascular Diseases
Acute Coronary Syndrome",B01AC24,,AstraZeneca AB,11,02/12/2010,"151 85 Södertälje
Sweden",,,,,,,,,Sweden
Telmisartan Actavis,EMEA/H/C/001168,telmisartan,telmisartan,Hypertension,C09CA07,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Actavis Group PTC ehf,9,29/09/2010,"Reykjavíkurvegur 76 - 78
IS-220 Hafnarfjörður
Iceland",,,,,,,,,Iceland
Retacrit,EMEA/H/C/000872,epoetin zeta,epoetin zeta,"Anemia
Blood Transfusion, Autologous
Kidney Failure, Chronic
Cancer",B03XA01,,Hospira UK Limited,22,17/12/2007,"Horizon, Honey Lane
Hurley, Maidenhead, SL6 6RJ
United Kingdom",,,,"This is a biosimilar medicine, which is a biological medicine highly similar to another already approved biological medicine called the ‘reference medicine’. For more information, see Biosimilar medicines.",,,,,United Kingdom
Onbrez Breezhaler,EMEA/H/C/001114,indacaterol maleate,indacaterol,"Pulmonary Disease, Chronic Obstructive",R03AC18,,Novartis Europharm Limited ,13,29/11/2009,"Elm Park, Merrion Road
Dublin 4
Ireland",,,,,,,,,Ireland
ellaOne,EMEA/H/C/001027,ulipristal,ulipristal acetate,"Contraception, Postcoital",G03AD02,,Laboratoire HRA Pharma,18,14/05/2009,"5 rue Beranger
F-75003 Paris
France",,,,,,,,,France
Translarna,EMEA/H/C/002720,Ataluren,ataluren,"Muscular Dystrophy, Duchenne",,,PTC Therapeutics International Limited,9,30/07/2014,"5th Floor, 3 Grand Canal Plaza
Grand Canal Street Upper
Dublin 4
D04 EE70
Ireland","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.","This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ","This medicine received a conditional marketing authorisation. This was granted in the interest of public health because the medicine addresses an unmet medical need and the benefit of immediate availability outweighs the risk from less comprehensive data than normally required. For more information, see Conditional marketing authorisation.",,,,,,Ireland
Abraxane,EMEA/H/C/000778,paclitaxel,paclitaxel,"Breast Neoplasms
Pancreatic Neoplasms
Carcinoma, Non-Small-Cell Lung",L01CD01,,Celgene Europe B.V. ,22,10/01/2008,"Celgene Europe B.V.
Winthontlaan 6 N
3526KV Utrecht
The Netherlands",,,,,,,,,The Netherlands
Zalmoxis,EMEA/H/C/002801,Allogeneic T cells genetically modified with a retroviral vector encoding for a truncated form of the human low affinity nerve growth factor receptor (ΔLNGFR) and the herpes simplex I virus thymidine kinase (HSV-TK Mut2),allogeneic T cells genetically modified with a retroviral vector encoding for a truncated form of the human low affinity nerve growth factor receptor (ΔLNGFR) and the herpes simplex I virus thymidine kinase (HSV-TK Mut2),"Hematopoietic Stem Cell Transplantation
Graft vs Host Disease",L01,,MolMed SpA,1,17/08/2016,"Via Olgettina 58
20132 Milan
Italy","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.","This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ","This medicine received a conditional marketing authorisation. This was granted in the interest of public health because the medicine addresses an unmet medical need and the benefit of immediate availability outweighs the risk from less comprehensive data than normally required. For more information, see Conditional marketing authorisation.",,,,,,Italy
